年度标识	省份编码	省份名称	商品房销售面积	住宅销售面积	商品房销售额	住宅销售额
1995	120000	天津市	146.5800	135.3400	279895.0000	260364.0000
1995	130000	河北省	207.9100	191.2000	225395.0000	192450.0000
1995	140000	山西省	75.7700	69.7800	72859.0000	62125.0000
1995	150000	内蒙古自治区	56.5800	50.3500	61114.0000	52079.0000
1995	156	中国	7905.9400	6787.0300	12577269.0000	10240705.0000
1995	210000	辽宁省	490.9600	421.2900	788104.0000	609012.0000
1995	220000	吉林省	155.3800	95.4400	171573.0000	114871.0000
1995	230000	黑龙江省	142.4200	115.2600	210940.0000	156295.0000
1995	310000	上海市	567.6600	536.3100	1460100.0000	1328270.0000
1995	320000	江苏省	798.3100	708.8900	1073839.0000	884173.0000
1995	330000	浙江省	866.6400	761.5500	1120812.0000	915227.0000
1995	340000	安徽省	220.4200	182.7200	224062.0000	165417.0000
1995	350000	福建省	350.5000	293.8700	631617.0000	436001.0000
1995	360000	江西省	134.3900	109.8300	96265.0000	76843.0000
1995	370000	山东省	451.1400	386.8200	562667.0000	440836.0000
1995	410000	河南省	659.2900	483.5300	261099.0000	208229.0000
1995	420000	湖北省	240.4900	210.3100	312197.0000	243288.0000
1995	430000	湖南省	143.9100	125.3100	131941.0000	108201.0000
1995	440000	广东省	999.7800	849.8600	2972252.0000	2382801.0000
1995	450000	广西壮族自治区	156.8400	133.9800	158387.0000	133779.0000
1995	460000	海南省	40.5600	31.5100	92035.0000	66200.0000
1995	510000	四川省	371.4700	325.3000	434879.0000	334583.0000
1995	520000	贵州省	52.7500	47.0200	51885.0000	42547.0000
1995	530000	云南省	170.8200	156.7900	226659.0000	201817.0000
1995	610000	陕西省	88.7300	75.1300	124839.0000	87847.0000
1995	620000	甘肃省	45.3500	39.8300	58602.0000	45726.0000
1995	630000	青海省	8.8900	7.0000	9756.0000	7343.0000
1995	640000	宁夏回族自治区	28.1300	24.4800	28819.0000	23139.0000
1995	650000	新疆维吾尔自治区	44.1100	39.6900	59409.0000	52654.0000
1996	110000	北京市	215.3300	183.0800	947281.0000	708415.0000
1996	120000	天津市	129.3900	114.4200	310282.0000	248065.0000
1996	130000	河北省	187.8900	172.0000	228963.0000	202930.0000
1996	140000	山西省	90.8900	82.2800	84440.0000	73001.0000
1996	150000	内蒙古自治区	68.6100	61.6200	65973.0000	56359.0000
1996	156	中国	7900.4100	6898.4600	14271292.0000	11069006.0000
1996	210000	辽宁省	511.9700	437.6000	747950.0000	604115.0000
1996	220000	吉林省	118.9700	95.1400	176172.0000	112641.0000
1996	230000	黑龙江省	187.5800	164.0900	278917.0000	231536.0000
1996	310000	上海市	573.5000	528.5600	1834896.0000	1568972.0000
1996	320000	江苏省	856.1300	753.2600	1235896.0000	1003802.0000
1996	330000	浙江省	932.0100	806.7800	1318508.0000	1035991.0000
1996	340000	安徽省	253.6600	212.4400	255350.0000	183846.0000
1996	350000	福建省	273.5100	234.2800	485863.0000	376129.0000
1996	360000	江西省	158.3100	137.0700	123305.0000	97723.0000
1996	370000	山东省	429.4200	369.3900	498722.0000	409463.0000
1996	410000	河南省	255.8200	215.2900	227539.0000	185548.0000
1996	420000	湖北省	249.4100	214.1300	315379.0000	233707.0000
1996	430000	湖南省	138.1100	120.1400	145907.0000	114465.0000
1996	440000	广东省	1038.1800	859.7100	3561363.0000	2443536.0000
1996	450000	广西壮族自治区	123.6900	108.1700	148816.0000	122078.0000
1996	460000	海南省	15.3000	13.5900	28454.0000	23628.0000
1996	510000	四川省	557.7000	485.7200	638639.0000	500193.0000
1996	520000	贵州省	52.1800	47.2200	47745.0000	40144.0000
1996	530000	云南省	204.0700	190.8900	235086.0000	207662.0000
1996	540000	西藏自治区	2.6700	2.6700	169.0000	169.0000
1996	610000	陕西省	113.9300	109.0900	129792.0000	118626.0000
1996	620000	甘肃省	64.0700	57.6500	76093.0000	66012.0000
1996	630000	青海省	10.3400	10.1200	10468.0000	10376.0000
1996	640000	宁夏回族自治区	41.9000	34.5500	45444.0000	32565.0000
1996	650000	新疆维吾尔自治区	45.8600	41.5100	67878.0000	57309.0000
1997	110000	北京市	290.9000	256.1900	1640894.0000	1403520.0000
1997	120000	天津市	195.5100	180.2400	447650.0000	384518.0000
1997	130000	河北省	182.3400	164.5000	270401.0000	222213.0000
1997	140000	山西省	122.9200	117.2200	129805.0000	118378.0000
1997	150000	内蒙古自治区	77.6900	67.3500	82560.0000	64708.0000
1997	156	中国	9010.1700	7864.3000	17994763.0000	14075553.0000
1997	210000	辽宁省	460.0400	401.7300	755266.0000	609862.0000
1997	220000	吉林省	95.0200	84.1100	123640.0000	101577.0000
1997	230000	黑龙江省	206.9700	171.0600	311823.0000	230920.0000
1997	310000	上海市	685.8500	616.4200	2132216.0000	1720149.0000
1997	320000	江苏省	1069.7500	953.1300	1550463.0000	1288772.0000
1997	330000	浙江省	1016.9700	878.9800	1694450.0000	1276823.0000
1997	340000	安徽省	272.2300	214.3800	307805.0000	206153.0000
1997	350000	福建省	426.8800	346.1400	835005.0000	620442.0000
1997	360000	江西省	136.5100	117.6300	111733.0000	85078.0000
1997	370000	山东省	499.6300	431.3300	638002.0000	505485.0000
1997	410000	河南省	220.4900	201.6500	202561.0000	176872.0000
1997	420000	湖北省	312.9600	259.4000	494961.0000	324714.0000
1997	430000	湖南省	147.9300	131.4900	153309.0000	122089.0000
1997	440000	广东省	1165.9700	1020.5300	4347313.0000	3214506.0000
1997	450000	广西壮族自治区	153.5400	138.5600	181488.0000	151550.0000
1997	460000	海南省	19.2200	13.8000	39235.0000	30154.0000
1997	500000	重庆市	236.7600	199.7300	280430.0000	203111.0000
1997	510000	四川省	462.8800	411.1900	564033.0000	440179.0000
1997	520000	贵州省	65.7000	59.6300	69658.0000	54151.0000
1997	530000	云南省	178.8300	152.0100	234651.0000	187771.0000
1997	540000	西藏自治区	4.1700	4.1700	578.0000	578.0000
1997	610000	陕西省	118.5400	109.5300	158291.0000	141391.0000
1997	620000	甘肃省	83.5200	71.2300	103737.0000	79161.0000
1997	630000	青海省	8.9900	8.2700	10973.0000	9407.0000
1997	640000	宁夏回族自治区	35.8200	30.1800	46372.0000	33636.0000
1997	650000	新疆维吾尔自治区	55.6300	52.5300	75460.0000	67685.0000
1998	110000	北京市	409.2000	376.9900	2143836.0000	1797999.0000
1998	120000	天津市	249.3900	233.4100	580120.0000	529614.0000
1998	130000	河北省	293.8600	272.4700	411690.0000	364213.0000
1998	140000	山西省	124.7400	117.8600	123339.0000	113393.0000
1998	150000	内蒙古自治区	115.2200	99.7200	115494.0000	91430.0000
1998	156	中国	12185.3000	10827.1000	25133027.0000	20068676.0000
1998	210000	辽宁省	664.7500	577.2000	1198862.0000	971718.0000
1998	220000	吉林省	165.9400	143.9800	214569.0000	161814.0000
1998	230000	黑龙江省	301.9900	266.7600	446053.0000	363885.0000
1998	310000	上海市	1141.9100	1056.7700	3988177.0000	3197633.0000
1998	320000	江苏省	1321.4000	1176.5700	2100217.0000	1699631.0000
1998	330000	浙江省	1192.3600	1031.0000	2151768.0000	1644769.0000
1998	340000	安徽省	405.1900	352.8900	453996.0000	351988.0000
1998	350000	福建省	515.2000	441.6700	1050962.0000	787052.0000
1998	360000	江西省	186.4700	153.3300	138757.0000	91695.0000
1998	370000	山东省	698.1300	615.2100	921355.0000	764277.0000
1998	410000	河南省	279.6100	262.9400	273192.0000	247047.0000
1998	420000	湖北省	437.6500	381.6100	705618.0000	469323.0000
1998	430000	湖南省	191.8700	170.7400	193702.0000	155819.0000
1998	440000	广东省	1538.9300	1354.1000	5302203.0000	4163369.0000
1998	450000	广西壮族自治区	175.2100	159.9700	256323.0000	207145.0000
1998	460000	海南省	20.9800	18.7500	34358.0000	30857.0000
1998	500000	重庆市	416.8200	359.7300	554786.0000	417609.0000
1998	510000	四川省	586.5800	528.9100	711498.0000	581473.0000
1998	520000	贵州省	94.9300	85.0300	119806.0000	91889.0000
1998	530000	云南省	233.5600	205.1600	391440.0000	314109.0000
1998	540000	西藏自治区	3.7100	3.6100	3621.0000	3021.0000
1998	610000	陕西省	182.3200	168.0100	235765.0000	201445.0000
1998	620000	甘肃省	77.5600	70.9600	99637.0000	83962.0000
1998	630000	青海省	12.7800	12.3000	16225.0000	15423.0000
1998	640000	宁夏回族自治区	63.7700	53.4900	77272.0000	56271.0000
1998	650000	新疆维吾尔自治区	83.2900	75.9700	118386.0000	98803.0000
1999	110000	北京市	544.4403	484.7144	3074693.0000	2320213.0000
1999	120000	天津市	258.3114	247.8419	581342.0000	534547.0000
1999	130000	河北省	367.1544	345.9845	496307.0000	453050.0000
1999	140000	山西省	116.0030	108.5314	119186.0000	106662.0000
1999	150000	内蒙古自治区	194.6078	157.2563	223156.0000	153888.0000
1999	156	中国	14556.5320	12997.8719	29878734.0000	24137347.0000
1999	210000	辽宁省	770.9590	671.8653	1479449.0000	1178600.0000
1999	220000	吉林省	212.1017	178.5528	304553.0000	220764.0000
1999	230000	黑龙江省	351.3834	294.6888	565495.0000	418443.0000
1999	310000	上海市	1328.6668	1243.3312	4546436.0000	3856431.0000
1999	320000	江苏省	1500.6328	1343.1521	2377231.0000	1963016.0000
1999	330000	浙江省	1324.4303	1155.4508	2526980.0000	1970787.0000
1999	340000	安徽省	445.0784	383.9065	548400.0000	408600.0000
1999	350000	福建省	599.6841	511.6403	1237536.0000	925413.0000
1999	360000	江西省	244.9044	206.0263	200802.0000	150199.0000
1999	370000	山东省	880.4162	779.6792	1183499.0000	978984.0000
1999	410000	河南省	297.1003	275.2836	303687.0000	264134.0000
1999	420000	湖北省	438.1790	401.4826	568045.0000	496618.0000
1999	430000	湖南省	288.6541	264.8335	306722.0000	253571.0000
1999	440000	广东省	1817.7548	1622.3968	5745283.0000	4723407.0000
1999	450000	广西壮族自治区	161.4949	140.8771	244965.0000	178491.0000
1999	460000	海南省	34.9580	33.3728	62872.0000	56323.0000
1999	500000	重庆市	429.9824	364.5607	591992.0000	393569.0000
1999	510000	四川省	725.6587	643.5793	979504.0000	748232.0000
1999	520000	贵州省	137.5519	126.2370	176539.0000	140198.0000
1999	530000	云南省	314.8030	298.4937	519687.0000	468396.0000
1999	540000	西藏自治区	1.3862	.9682	1820.0000	725.0000
1999	610000	陕西省	429.5371	410.2824	447468.0000	407951.0000
1999	620000	甘肃省	105.8046	92.7539	134769.0000	98580.0000
1999	630000	青海省	30.7362	25.7100	44943.0000	32445.0000
1999	640000	宁夏回族自治区	76.6784	63.9772	107690.0000	76806.0000
1999	650000	新疆维吾尔自治区	127.4784	120.4413	177683.0000	158304.0000
2000	110000	北京市	956.8966	898.2150	4707247.0000	4093363.0000
2000	120000	天津市	391.7643	378.3427	912027.0000	860428.0000
2000	130000	河北省	489.4435	443.5245	708819.0000	598658.0000
2000	140000	山西省	190.6378	177.3909	213052.0000	174809.0000
2000	150000	内蒙古自治区	293.8350	239.4602	333670.0000	235743.0000
2000	156	中国	18637.1280	16570.2849	39354423.0000	32286046.0000
2000	210000	辽宁省	948.6664	804.3854	1969468.0000	1514151.0000
2000	220000	吉林省	309.3425	267.4873	435515.0000	347385.0000
2000	230000	黑龙江省	499.8452	424.4271	869447.0000	669929.0000
2000	310000	上海市	1557.8668	1445.8740	5554492.0000	4809654.0000
2000	320000	江苏省	1740.9335	1555.9702	2859863.0000	2375442.0000
2000	330000	浙江省	1502.2313	1308.9800	2925114.0000	2301115.0000
2000	340000	安徽省	535.8632	462.9077	628613.0000	472366.0000
2000	350000	福建省	810.6549	675.7279	1689647.0000	1193865.0000
2000	360000	江西省	286.6853	242.2870	272008.0000	206842.0000
2000	370000	山东省	1078.3752	934.1980	1538824.0000	1254872.0000
2000	410000	河南省	509.2133	438.4129	641788.0000	505119.0000
2000	420000	湖北省	612.0544	571.0392	837368.0000	731015.0000
2000	430000	湖南省	377.7577	343.2842	407772.0000	338900.0000
2000	440000	广东省	2259.9458	2009.3370	7295026.0000	5973630.0000
2000	450000	广西壮族自治区	191.3610	177.8039	277384.0000	245721.0000
2000	460000	海南省	42.1544	39.7235	83450.0000	77705.0000
2000	500000	重庆市	579.9601	491.0868	783709.0000	528698.0000
2000	510000	四川省	945.6368	837.5399	1267444.0000	950444.0000
2000	520000	贵州省	251.7132	228.8339	319315.0000	250815.0000
2000	530000	云南省	343.1587	311.0297	596712.0000	512009.0000
2000	540000	西藏自治区	4.8000	4.8000	5160.0000	5160.0000
2000	610000	陕西省	396.3970	370.6919	496868.0000	448659.0000
2000	620000	甘肃省	123.0109	109.1238	160101.0000	130790.0000
2000	630000	青海省	39.9083	36.8407	49413.0000	41847.0000
2000	640000	宁夏回族自治区	104.4943	90.6105	141306.0000	103746.0000
2000	650000	新疆维吾尔自治区	262.5206	250.9491	373801.0000	333166.0000
2001	110000	北京市	1204.9643	1127.4955	6099114.0000	5317140.0000
2001	120000	天津市	537.4797	514.5915	1276363.0000	1187443.0000
2001	130000	河北省	596.5695	514.5297	872675.0000	684571.0000
2001	140000	山西省	234.8416	211.3696	316691.0000	263914.0000
2001	150000	内蒙古自治区	365.9932	296.3643	452093.0000	303238.0000
2001	156	中国	22411.9021	19938.7458	48627517.0000	40211543.0000
2001	210000	辽宁省	1166.0643	995.0149	2478679.0000	1988550.0000
2001	220000	吉林省	385.1320	337.8449	597880.0000	490070.0000
2001	230000	黑龙江省	594.6410	490.6264	1060725.0000	800169.0000
2001	310000	上海市	1796.6390	1681.4750	6946567.0000	6151664.0000
2001	320000	江苏省	1904.1583	1714.6192	3428649.0000	2854842.0000
2001	330000	浙江省	1801.4546	1544.0368	3693512.0000	2811536.0000
2001	340000	安徽省	679.5776	587.3995	790332.0000	583957.0000
2001	350000	福建省	987.8073	842.9952	1990797.0000	1507545.0000
2001	360000	江西省	436.8232	372.6927	424568.0000	322188.0000
2001	370000	山东省	1403.2536	1238.7495	2044474.0000	1685670.0000
2001	410000	河南省	511.6802	468.7095	632243.0000	549575.0000
2001	420000	湖北省	745.0837	697.1983	1015875.0000	914295.0000
2001	430000	湖南省	440.0713	392.2626	549356.0000	440679.0000
2001	440000	广东省	2275.7853	2048.8410	7520777.0000	6355369.0000
2001	450000	广西壮族自治区	292.3214	270.3525	536611.0000	440155.0000
2001	460000	海南省	59.9352	55.1482	114490.0000	105017.0000
2001	500000	重庆市	746.0503	635.0411	1076534.0000	719196.0000
2001	510000	四川省	1414.6999	1256.3538	1935267.0000	1470925.0000
2001	520000	贵州省	369.3791	332.0006	429951.0000	340724.0000
2001	530000	云南省	314.9100	285.4317	610771.0000	527346.0000
2001	540000	西藏自治区	8.5912	7.8292	14383.0000	11475.0000
2001	610000	陕西省	416.2859	371.1907	653434.0000	518746.0000
2001	620000	甘肃省	141.6960	131.7877	178327.0000	156783.0000
2001	630000	青海省	33.6579	31.8640	40670.0000	35796.0000
2001	640000	宁夏回族自治区	126.4879	103.2598	201895.0000	135147.0000
2001	650000	新疆维吾尔自治区	419.8676	381.6704	643814.0000	537818.0000
2002	110000	北京市	1708.3400	1604.4200	8138380.0000	7166593.0000
2002	120000	天津市	564.0000	538.2600	1402816.0000	1299236.0000
2002	130000	河北省	658.8500	564.8800	990574.0000	749483.0000
2002	140000	山西省	299.0500	261.4300	429088.0000	327539.0000
2002	150000	内蒙古自治区	422.1300	347.4400	530070.0000	361721.0000
2002	156	中国	26808.2855	23702.3148	60323413.0000	49578501.0000
2002	210000	辽宁省	1277.4600	1120.3600	2732993.0000	2231000.0000
2002	220000	吉林省	518.2800	432.6700	862852.0000	648388.0000
2002	230000	黑龙江省	692.4700	574.3300	1248743.0000	918213.0000
2002	310000	上海市	1971.4700	1846.3800	8150324.0000	7398946.0000
2002	320000	江苏省	2321.8500	2074.4700	4469966.0000	3745486.0000
2002	330000	浙江省	2219.3000	1873.9700	5297841.0000	3987251.0000
2002	340000	安徽省	794.8200	681.9000	1025047.0000	798512.0000
2002	350000	福建省	1047.0500	882.9200	2252829.0000	1539548.0000
2002	360000	江西省	562.0900	466.8100	596687.0000	423486.0000
2002	370000	山东省	1695.8400	1482.2300	2721410.0000	2275344.0000
2002	410000	河南省	639.9400	584.7400	882902.0000	755043.0000
2002	420000	湖北省	805.6900	724.6500	1173101.0000	1020504.0000
2002	430000	湖南省	602.2900	518.1800	798501.0000	595908.0000
2002	440000	广东省	2530.8100	2260.0000	8203220.0000	6830099.0000
2002	450000	广西壮族自治区	339.6300	302.2900	654045.0000	496853.0000
2002	460000	海南省	76.7400	71.0300	137325.0000	127624.0000
2002	500000	重庆市	1016.5800	870.4100	1581505.0000	1111929.0000
2002	510000	四川省	1865.9400	1644.4800	2576376.0000	1957252.0000
2002	520000	贵州省	424.8500	378.5100	526138.0000	404183.0000
2002	530000	云南省	400.2200	371.8900	765723.0000	663464.0000
2002	540000	西藏自治区	16.1600	14.6600	25348.0000	22600.0000
2002	610000	陕西省	477.5400	441.4100	741858.0000	653823.0000
2002	620000	甘肃省	165.8300	152.2300	219830.0000	181922.0000
2002	630000	青海省	68.0400	61.1700	87898.0000	71375.0000
2002	640000	宁夏回族自治区	118.3600	98.4900	220736.0000	157019.0000
2002	650000	新疆维吾尔自治区	506.6600	455.6800	879287.0000	658157.0000
