年度标识	省份名称	地区生产总值	地区生产总值－房地产业	第一产业占GDP比重(%)	第二产业占GDP比重(%)	第三产业占GDP比重(%)	人均地区生产总值
2018	中国	900309.5000	59846.4000	7.2000	40.7000	52.2000	64644.0000
2017	中国	820754.3000	53965.2000	7.6000	40.5000	51.9000	59201.0000
2017	安徽省	27018.0000	1390.4800	9.5576	47.5175	42.9249	43401.3638
2017	海南省	4462.5400	434.9000	21.5761	22.3270	56.0970	48430.0000
2017	新疆维吾尔自治区	10881.9600	323.1600	14.2607	39.7988	45.9405	44941.0000
2017	黑龙江省	15902.6817	656.3400	18.6462	25.5341	55.8197	41916.0000
2017	湖北省	35478.0900	1642.9800	9.9469	43.5248	46.5284	60199.0000
2017	宁夏回族自治区	3443.5600	120.8400	7.2779	45.8993	46.8228	50765.0000
2017	湖南省	33902.9600	1019.3500	8.8441	41.7235	49.4325	49558.0000
2017	山东省	72634.1491	3091.3677	6.6535	45.3545	47.9920	72807.1389
2017	云南省	16376.3400	345.5000	14.2790	37.8898	47.8312	34221.0000
2017	福建省	32182.0900	1768.4800	6.8831	47.7107	45.4062	82677.0000
2017	广东省	89705.2300	7635.9600	4.0259	42.3699	53.6042	80932.0000
2017	上海市	30632.9900	1873.0500	.3616	30.4595	69.1788	126634.1500
2017	浙江省	51768.2600	3222.5400	3.7357	42.9454	53.3189	92057.0108
2017	吉林省	14944.5300	525.5800	7.3295	46.8299	45.8406	54838.0000
2017	贵州省	13540.8256	283.0500	15.0085	40.0872	44.9043	37956.0633
2017	辽宁省	23409.2400	1132.1800	8.1262	39.2999	52.5739	53526.6544
2017	江西省	20006.3100	890.5500	9.1734	48.1247	42.7019	43424.3703
2017	西藏自治区	1310.9200	33.4900	9.3614	39.1824	51.4562	39267.0000
2017	江苏省	85869.7600	5016.5400	4.7108	45.0157	50.2735	107150.0000
2017	陕西省	21898.8100	861.5300	7.9523	49.6962	42.3515	57266.3100
2017	内蒙古自治区	16096.2100	458.5900	10.2494	39.7589	49.9916	63764.0000
2017	河南省	44552.8300	2222.2100	9.2907	47.3719	43.3374	46674.0000
2017	青海省	2624.8300	60.8900	9.0829	44.2852	46.6320	44047.0000
2017	河北省	34016.3200	1690.3100	9.2014	46.5841	44.2145	45387.0000
2017	山西省	15528.4200	798.7300	4.6313	43.6547	51.7140	42060.0000
2017	甘肃省	7459.8995	274.2991	11.5250	34.3408	54.1342	28496.5010
2017	四川省	36980.2200	2039.8300	11.5260	38.7454	49.7286	44651.3200
2017	重庆市	19424.7300	1048.2500	6.5694	44.1942	49.2364	63442.0000
2017	广西壮族自治区	18523.2600	885.4800	15.5388	40.2243	44.2369	38102.0000
2017	北京市	28014.9400	1766.2000	.4298	19.0140	80.5562	128994.1063
2017	天津市	18549.1900	783.2700	.9109	40.9376	58.1515	118943.5683
2016	中国	740060.8000	48190.9000	8.1000	40.1000	51.8000	53680.0000
2016	海南省	4053.2000	349.9500	23.3976	22.3515	54.2510	44347.0000
2016	宁夏回族自治区	3168.5900	102.5700	7.6248	46.9748	45.4003	47194.0000
2016	安徽省	24407.6200	1124.0650	10.5201	48.4340	41.0459	39561.0000
2016	湖南省	31551.3700	879.6200	11.3414	42.2840	46.3746	46382.0000
2016	新疆维吾尔自治区	9649.7000	298.6200	17.0883	37.7940	45.1177	40564.0000
2016	黑龙江省	15386.0900	616.9000	17.3563	28.6017	54.0419	40432.0000
2016	西藏自治区	1151.4100	33.4700	10.0555	37.2734	52.6711	35184.0000
2016	湖北省	32665.3800	1291.3536	11.2025	44.8621	43.9354	55665.0000
2016	江苏省	77388.2800	4292.7868	5.2685	44.7348	49.9967	96887.0000
2016	上海市	28178.6500	2125.6200	.3885	29.8321	69.7794	116562.0000
2016	云南省	14788.4200	303.9600	14.8434	38.4771	46.6794	31093.0000
2016	广东省	80854.9100	6229.5000	4.5691	43.4230	52.0078	74016.0000
2016	吉林省	14776.8000	476.5800	10.1410	47.4051	42.4539	53868.0000
2016	北京市	25669.1300	1672.6800	.5056	19.2622	80.2322	118198.0000
2016	江西省	18499.0000	745.8900	10.2953	47.7298	41.9749	40400.0000
2016	辽宁省	22246.9000	1037.3300	9.7679	38.6865	51.5456	50791.0000
2016	贵州省	11776.7300	249.2000	15.6766	39.6505	44.6729	33246.0000
2016	陕西省	19399.5900	747.1750	8.7314	48.9223	42.3464	51015.0000
2016	内蒙古自治区	18128.1000	453.8000	9.0323	47.1844	43.7833	72064.0000
2016	青海省	2572.4900	56.1300	8.5983	48.5903	42.8114	43531.0000
2016	河南省	40471.7900	1890.0100	10.5906	47.6278	41.7816	42575.0000
2016	福建省	28810.5800	1269.6700	8.2026	48.9177	42.8797	74707.0000
2016	山东省	68024.4900	2773.2911	7.2461	46.0770	46.6769	68733.0000
2016	河北省	32070.4500	1488.4200	10.8911	47.5732	41.5358	43062.0000
2016	山西省	13050.4100	698.5300	6.0135	38.5351	55.4514	35532.0000
2016	甘肃省	7200.3700	259.8856	13.6575	34.9365	51.4060	27643.0000
2016	浙江省	47251.3600	2607.0000	4.1590	44.8550	50.9860	84916.0000
2016	重庆市	17740.5900	926.1900	7.3461	44.5246	48.1293	58502.0000
2016	广西壮族自治区	18317.6400	749.0400	15.2683	45.1677	39.5639	38027.0000
