年度标识	省份名称	职工平均货币工资合计
2018	北京市	145766.0000
2017	北京市	131700.0000
2016	北京市	119928.0000
2015	北京市	111390.0000
2014	北京市	102268.0000
2013	北京市	93006.0000
2012	北京市	84742.0000
2011	北京市	75482.0000
2010	北京市	65158.0000
2009	北京市	57779.0000
2008	北京市	55844.0000
2007	北京市	45823.0000
2006	北京市	39684.0000
2005	北京市	34191.0000
2004	北京市	29674.0000
2003	北京市	25312.0000
2002	北京市	21852.0000
2001	北京市	19155.0000
2000	北京市	16350.0000
1999	北京市	14054.0000
1998	北京市	12451.0000
1997	北京市	11019.0000
1996	北京市	9579.0000
1995	北京市	8144.0000
2018	天津市	100731.0000
2017	天津市	94534.0000
2016	天津市	86305.0000
2015	天津市	80090.0000
2014	天津市	72773.0000
2013	天津市	67773.0000
2012	天津市	61514.0000
2011	天津市	55658.0000
2010	天津市	51489.0000
2009	天津市	43937.0000
2008	天津市	39990.0000
2007	天津市	33312.0000
2006	天津市	27628.0000
2005	天津市	25271.0000
2004	天津市	21754.0000
2003	天津市	18648.0000
2002	天津市	16258.0000
2001	天津市	14308.0000
2000	天津市	12480.0000
1999	天津市	11056.0000
1998	天津市	9946.0000
1997	天津市	8238.0000
1996	天津市	7643.0000
1995	天津市	6501.0000
2018	河北省	68717.0000
2017	河北省	63036.0000
2016	河北省	55334.0000
2015	河北省	50921.0000
2014	河北省	45114.0000
2013	河北省	41501.0000
2012	河北省	38658.0000
2011	河北省	35309.0000
2010	河北省	31451.0000
2009	河北省	27774.0000
2008	河北省	24276.0000
2007	河北省	19742.0000
2006	河北省	16456.0000
2005	河北省	14707.0000
2004	河北省	12925.0000
2003	河北省	11189.0000
2002	河北省	10032.0000
2001	河北省	8730.0000
2000	河北省	7781.0000
1999	河北省	7022.0000
1998	河北省	6302.0000
1997	河北省	5692.0000
1996	河北省	5286.0000
1995	河北省	4839.0000
2018	山西省	65917.0000
2017	山西省	60061.0000
2016	山西省	53705.0000
2015	山西省	51803.0000
2014	山西省	48969.0000
2013	山西省	46407.0000
2012	山西省	44236.0000
2011	山西省	39230.0000
2010	山西省	33057.0000
2009	山西省	28066.0000
